Version,Date,Description of Change,_page,Caution: ALWAYS CONNECT JETSON ORIN NANO and ALL EXTERNAL PERIPHERAL,Note: The developer kit carrier board has been modified to only support 5V to the module.,Pin #,Connector Pin,Associated Module Pin,Module,Module Pin Name,Type/Dir,Module Pin Name (see Note 1 and 2),Usage/Description,Module Pin #,N > >,otes:,Module Pin,Module Pin.1,Module.1,Notes:,Type/Dir.1,Header Pin #,SoC Pin Name,Pin Drive,Pin,Type/Dir Default,Associated Module Pin Name,Power Rails,Usage,(V),Power Supply or Gate,Source,Enable,Max Current (A),Connector
,,,17,,,,,,PEX_WAKE*,,,,,,,,55,179,PCIe Wake,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,
,,,17,,,,,,–,,,,,,,,,–,Ground,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,
,,,17,,,,,,–,,,,,,,,,–,Unused,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,
,,,17,,,,,,–,,,,,,,,,–,Ground,,,,,,,,,,,,,,,,
,,,18,,,,,,Name,,,,,,,,Pin #,Pin #,Usage/Description,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,
,,,18,,,,,,–,,,,,,,,,–,Unused,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,,,,,–,,,,,,,,69,–,Ground,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,
,,,18,,,,,,–,,,,,,,,,–,Unused,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,,,,,–,,,,,,,,75,–,Ground,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,"Note: In the Type/Dir column, Output is to M.2 module. Input is from M.2 module. Bidir is for bidirectional signals.",,,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,,,,,Name,,Pin #,,,,,,Pin #,Usage/Description,Default,,Pin #,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,
,,,18,,,,,,–,,–,,,,,,,Ground,Ground,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,3,,,,4,,,,,,,,,,,,,,
,,,18,,,,,,PCIE0_RX3_N,,155,,,,,,5,PCIe IF #0 Lane 3 Receive,Input,,6,,,,,,,,,,,,,,
,,,18,,,,,,PCIE0_RX3_P,,157,,,,,,7,,,,8,,,,,,,,,,,,,,
,,,18,,,,,,–,,–,,,,,,9,Ground,Ground,,10,,,,,,,,,,,,,,
,,,18,,,,,,PCIE0_TX3_N,,154,,,,,,11,PCIe IF #0 Lane 3 Transmit,Output,,12,,,,,,,,,,,,,,
,,,18,,,,,,PCIE0_TX3_P,,156,,,,,,13,,,,14,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,,,,,–,,–,,,,,,15,Ground,Ground,,16,,,,,,,,,,,,,,
,,,18,,,,,,PCIE0_RX2_N,,149,,,,,,17,PCIe IF #0 Lane 2 Receive,Input,,18,,,,,,,,,,,,,,
,,,18,,,,,,PCIE0_RX2_P,,151,,,,,,19,,,,20,,,,,,,,,,,,,,
,,,19,,,,,,Name,,Pin #,,,,,,Pin #,Usage/Description,Default,,Pin #,,,,,,,,,,,,,,
,,,19,,,,,,–,,–,,,,,,21,Ground,Ground,,22,,,,,,,,,,,,,,
,,,19,,,,,,PCIE0_TX2_N,,148,,,,,,23,PCIe IF #0 Lane 2 Transmit,Output,,24,,,,,,,,,,,,,,
,,,19,,,,,,PCIE0_TX2_P,,150,,,,,,25,,,,26,,,,,,,,,,,,,,
,,,19,,,,,,–,,–,,,,,,27,Ground,Ground,,28,,,,,,,,,,,,,,
,,,19,,,,,,PCIE0_RX1_N,,137,,,,,,29,PCIe IF #0 Lane 1 Receive,Input,,30,,,,,,,,,,,,,,
,,,19,,,,,,PCIE0_RX1_P,,139,,,,,,31,,,,32,,,,,,,,,,,,,,
,,,19,,,,,,–,,–,,,,,,33,Ground,Ground,,34,,,,,,,,,,,,,,
,,,19,,,,,,PCIE0_TX1_N,,140,,,,,,35,PCIe IF #0 Lane 1 Transmit,Output,,36,,,,,,,,,,,,,,
